detector,scenario,magnitude,n_streams,n_machines,bootstrap_draws,auc,auc_lo,auc_hi
js_max_thinned,variance_shift,0.5,22,11,2000,0.7853,0.6856,0.877
js_max_thinned,variance_shift,1.0,22,11,2000,0.8188,0.7252,0.9004
js_max_thinned,variance_shift,2.0,22,11,2000,0.763,0.6534,0.8653
js_max_thinned,variance_shift,4.0,22,11,2000,0.8492,0.7762,0.9154
ks_bonferroni,correlation_break,0.0,22,11,2000,0.5,0.5,0.5
ks_bonferroni,gradual_shift,0.5,22,11,2000,0.5,0.5,0.5
ks_bonferroni,gradual_shift,1.0,22,11,2000,0.5,0.5,0.5
ks_bonferroni,gradual_shift,2.0,22,11,2000,0.5,0.5,0.5
ks_bonferroni,gradual_shift,4.0,22,11,2000,0.5,0.5,0.5
ks_bonferroni,incremental_shift,0.5,22,11,2000,0.5,0.5,0.5
ks_bonferroni,incremental_shift,1.0,22,11,2000,0.5,0.5,0.5
ks_bonferroni,incremental_shift,2.0,22,11,2000,0.5,0.5,0.5
ks_bonferroni,incremental_shift,4.0,22,11,2000,0.5,0.5,0.5
ks_bonferroni,sudden_shift,0.5,22,11,2000,0.5,0.5,0.5
ks_bonferroni,sudden_shift,1.0,22,11,2000,0.5,0.5,0.5
ks_bonferroni,sudden_shift,2.0,22,11,2000,0.5,0.5,0.5
ks_bonferroni,sudden_shift,4.0,22,11,2000,0.5,0.5,0.5
ks_bonferroni,variance_shift,0.5,22,11,2000,0.5,0.5,0.5
ks_bonferroni,variance_shift,1.0,22,11,2000,0.5,0.5,0.5
ks_bonferroni,variance_shift,2.0,22,11,2000,0.5,0.5,0.5
ks_bonferroni,variance_shift,4.0,22,11,2000,0.5,0.5,0.5
ks_max,correlation_break,0.0,22,11,2000,0.5277,0.4288,0.6241
ks_max,gradual_shift,0.5,22,11,2000,0.7217,0.6594,0.7823
ks_max,gradual_shift,1.0,22,11,2000,0.7854,0.7153,0.8551
ks_max,gradual_shift,2.0,22,11,2000,0.8134,0.7412,0.8794
ks_max,gradual_shift,4.0,22,11,2000,0.8542,0.7977,0.9053
ks_max,incremental_shift,0.5,22,11,2000,0.7919,0.6828,0.8928
ks_max,incremental_shift,1.0,22,11,2000,0.8654,0.7921,0.9288
ks_max,incremental_shift,2.0,22,11,2000,0.7861,0.7129,0.8618
ks_max,incremental_shift,4.0,22,11,2000,0.8911,0.8303,0.9453
ks_max,sudden_shift,0.5,22,11,2000,0.797,0.7195,0.8727
ks_max,sudden_shift,1.0,22,11,2000,0.9188,0.8539,0.9718
ks_max,sudden_shift,2.0,22,11,2000,0.9154,0.8612,0.9642
ks_max,sudden_shift,4.0,22,11,2000,0.9347,0.8693,0.9865
ks_max,variance_shift,0.5,22,11,2000,0.7063,0.5801,0.8294
ks_max,variance_shift,1.0,22,11,2000,0.7344,0.6318,0.8442
ks_max,variance_shift,2.0,22,11,2000,0.784,0.6867,0.8777
ks_max,variance_shift,4.0,22,11,2000,0.8357,0.7541,0.9144
ks_max_thinned,correlation_break,0.0,22,11,2000,0.5457,0.4484,0.6449
ks_max_thinned,gradual_shift,0.5,22,11,2000,0.7185,0.6609,0.7796
ks_max_thinned,gradual_shift,1.0,22,11,2000,0.7544,0.6648,0.8411
ks_max_thinned,gradual_shift,2.0,22,11,2000,0.7846,0.7115,0.8557
ks_max_thinned,gradual_shift,4.0,22,11,2000,0.8168,0.75,0.8777
ks_max_thinned,incremental_shift,0.5,22,11,2000,0.7846,0.6803,0.8852
ks_max_thinned,incremental_shift,1.0,22,11,2000,0.7985,0.7234,0.87
ks_max_thinned,incremental_shift,2.0,22,11,2000,0.7523,0.6712,0.8369
ks_max_thinned,incremental_shift,4.0,22,11,2000,0.8371,0.7532,0.9159
ks_max_thinned,sudden_shift,0.5,22,11,2000,0.7785,0.6915,0.8628
ks_max_thinned,sudden_shift,1.0,22,11,2000,0.8747,0.8006,0.94
ks_max_thinned,sudden_shift,2.0,22,11,2000,0.8719,0.8076,0.9303
ks_max_thinned,sudden_shift,4.0,22,11,2000,0.8991,0.8288,0.9581
ks_max_thinned,variance_shift,0.5,22,11,2000,0.7292,0.6181,0.838
ks_max_thinned,variance_shift,1.0,22,11,2000,0.7082,0.6136,0.8086
ks_max_thinned,variance_shift,2.0,22,11,2000,0.7626,0.6569,0.8632
ks_max_thinned,variance_shift,4.0,22,11,2000,0.8173,0.7289,0.9035
pca_recon,correlation_break,0.0,22,11,2000,0.8906,0.8261,0.9458
pca_recon,gradual_shift,0.5,22,11,2000,0.8496,0.79,0.9018
pca_recon,gradual_shift,1.0,22,11,2000,0.8584,0.7845,0.9225
pca_recon,gradual_shift,2.0,22,11,2000,0.9205,0.8738,0.9602
pca_recon,gradual_shift,4.0,22,11,2000,0.9391,0.8955,0.9746
pca_recon,incremental_shift,0.5,22,11,2000,0.7435,0.6502,0.82
pca_recon,incremental_shift,1.0,22,11,2000,0.8147,0.75,0.874
pca_recon,incremental_shift,2.0,22,11,2000,0.8732,0.8168,0.9265
pca_recon,incremental_shift,4.0,22,11,2000,0.9375,0.9028,0.9675
pca_recon,sudden_shift,0.5,22,11,2000,0.8125,0.7261,0.8884
pca_recon,sudden_shift,1.0,22,11,2000,0.8768,0.8204,0.9306
pca_recon,sudden_shift,2.0,22,11,2000,0.9154,0.8665,0.9574
pca_recon,sudden_shift,4.0,22,11,2000,0.9464,0.9067,0.9783
pca_recon,variance_shift,0.5,22,11,2000,0.845,0.7679,0.9103
pca_recon,variance_shift,1.0,22,11,2000,0.9085,0.8444,0.96
pca_recon,variance_shift,2.0,22,11,2000,0.9077,0.8525,0.9541
pca_recon,variance_shift,4.0,22,11,2000,0.9515,0.9119,0.9828
psi_max,correlation_break,0.0,22,11,2000,0.4838,0.3728,0.5921
psi_max,gradual_shift,0.5,22,11,2000,0.598,0.4933,0.7096
psi_max,gradual_shift,1.0,22,11,2000,0.6019,0.5211,0.6814
psi_max,gradual_shift,2.0,22,11,2000,0.6792,0.6197,0.7413
psi_max,gradual_shift,4.0,22,11,2000,0.722,0.6532,0.7916
psi_max,incremental_shift,0.5,22,11,2000,0.6106,0.5018,0.7244
psi_max,incremental_shift,1.0,22,11,2000,0.7963,0.7212,0.8679
psi_max,incremental_shift,2.0,22,11,2000,0.8123,0.74,0.8785
psi_max,incremental_shift,4.0,22,11,2000,0.8547,0.7981,0.9044
psi_max,sudden_shift,0.5,22,11,2000,0.6341,0.5319,0.7303
psi_max,sudden_shift,1.0,22,11,2000,0.8614,0.7776,0.9353
psi_max,sudden_shift,2.0,22,11,2000,0.9556,0.9052,0.9943
psi_max,sudden_shift,4.0,22,11,2000,0.9961,0.9903,1.0
psi_max,variance_shift,0.5,22,11,2000,0.488,0.3681,0.6122
psi_max,variance_shift,1.0,22,11,2000,0.527,0.4166,0.6431
psi_max,variance_shift,2.0,22,11,2000,0.6703,0.5481,0.7877
psi_max,variance_shift,4.0,22,11,2000,0.6897,0.587,0.7957
psi_max_thinned,correlation_break,0.0,22,11,2000,0.507,0.368,0.6371
psi_max_thinned,gradual_shift,0.5,22,11,2000,0.6883,0.5935,0.7778
psi_max_thinned,gradual_shift,1.0,22,11,2000,0.7417,0.6654,0.8202
psi_max_thinned,gradual_shift,2.0,22,11,2000,0.7568,0.6711,0.834
psi_max_thinned,gradual_shift,4.0,22,11,2000,0.8076,0.7378,0.8701
psi_max_thinned,incremental_shift,0.5,22,11,2000,0.6244,0.5059,0.7437
psi_max_thinned,incremental_shift,1.0,22,11,2000,0.6881,0.5711,0.7986
psi_max_thinned,incremental_shift,2.0,22,11,2000,0.7262,0.6025,0.8334
psi_max_thinned,incremental_shift,4.0,22,11,2000,0.8752,0.7869,0.9432
