machine,detector,policy,value,achieved_alarms_per_window
machine-1-7,pca_recon,fixed,3.708719094541349,0.125
machine-1-7,psi_max,fixed,14.405409925398907,0.125
machine-1-7,psi_max_thinned,fixed,17.93302084707694,0.125
machine-1-7,random,fixed,0.8144429883837196,0.125
machine-1-7,wasserstein_max,fixed,1.5532225254070031,0.125
machine-1-7,wasserstein_max_thinned,fixed,2.3904996391002684,0.125
machine-1-8,c2st,fixed,0.8832285266257041,0.125
machine-1-8,c2st_thinned,fixed,0.3194444444444444,0.125
machine-1-8,iforest_mean,fixed,0.0276615753661284,0.125
machine-1-8,js_max,fixed,0.13840623300462318,0.125
machine-1-8,js_max_thinned,fixed,0.45060063898812397,0.125
machine-1-8,ks_bonferroni,fixed,10.0,0.0
machine-1-8,ks_max,fixed,0.24445000000000006,0.125
machine-1-8,ks_max_thinned,fixed,0.40717948717948727,0.125
machine-1-8,pca_recon,fixed,1.7297233420092681,0.125
machine-1-8,psi_max,fixed,0.6985952037084842,0.125
machine-1-8,psi_max_thinned,fixed,8.921745406283577,0.125
machine-1-8,random,fixed,0.8831346964356519,0.125
machine-1-8,wasserstein_max,fixed,0.698135503435639,0.125
machine-1-8,wasserstein_max_thinned,fixed,19.70062941507116,0.125
machine-2-1,c2st,fixed,0.9129151660664265,0.125
machine-2-1,c2st_thinned,fixed,0.7644110275689222,0.125
machine-2-1,iforest_mean,fixed,0.04222764470755602,0.125
machine-2-1,js_max,fixed,0.4384006701258857,0.125
machine-2-1,js_max_thinned,fixed,0.5642296905225326,0.125
machine-2-1,ks_bonferroni,fixed,10.0,0.0
machine-2-1,ks_max,fixed,0.6831499999999999,0.125
machine-2-1,ks_max_thinned,fixed,0.7055460263007434,0.125
machine-2-1,pca_recon,fixed,1.1277089466367263,0.125
machine-2-1,psi_max,fixed,6.30578244769757,0.125
machine-2-1,psi_max_thinned,fixed,13.558190627350143,0.125
machine-2-1,random,fixed,0.7488943078245106,0.125
machine-2-1,wasserstein_max,fixed,1.4619653708084193,0.125
machine-2-1,wasserstein_max_thinned,fixed,1.6518016617728852,0.125
machine-2-2,c2st,fixed,0.9651478605914423,0.125
machine-2-2,c2st_thinned,fixed,0.878095238095238,0.125
machine-2-2,iforest_mean,fixed,0.026594348653855626,0.125
machine-2-2,js_max,fixed,0.5672994974095714,0.125
machine-2-2,js_max_thinned,fixed,0.5711847603167273,0.125
machine-2-2,ks_bonferroni,fixed,10.0,0.0
machine-2-2,ks_max,fixed,0.6597000000000001,0.125
machine-2-2,ks_max_thinned,fixed,0.6672143390589993,0.125
machine-2-2,pca_recon,fixed,2.0340560554679934,0.125
machine-2-2,psi_max,fixed,11.59976491622372,0.125
machine-2-2,psi_max_thinned,fixed,11.64452376335434,0.125
machine-2-2,random,fixed,0.8280043329530875,0.125
machine-2-2,wasserstein_max,fixed,2.62734192911825,0.125
machine-2-2,wasserstein_max_thinned,fixed,2.5807758273228676,0.125
machine-2-3,c2st,fixed,0.6128630904916275,0.125
machine-2-3,c2st_thinned,fixed,0.4666666666666668,0.125
machine-2-3,iforest_mean,fixed,0.03173852742509092,0.125
machine-2-3,js_max,fixed,0.3619653509689026,0.125
machine-2-3,js_max_thinned,fixed,0.5964802515886019,0.125
machine-2-3,ks_bonferroni,fixed,10.0,0.0
machine-2-3,ks_max,fixed,0.54365,0.125
machine-2-3,ks_max_thinned,fixed,0.656140350877193,0.125
machine-2-3,pca_recon,fixed,346.76984557020023,0.125
machine-2-3,psi_max,fixed,2.242365537067298,0.125
machine-2-3,psi_max_thinned,fixed,10.633294893590778,0.125
machine-2-3,random,fixed,0.8776489753668463,0.125
machine-2-3,wasserstein_max,fixed,6.397987203467111,0.125
machine-2-3,wasserstein_max_thinned,fixed,5.593306553463913,0.125
machine-2-4,c2st,fixed,0.9135208867519233,0.125
machine-2-4,c2st_thinned,fixed,0.5185185185185184,0.125
machine-2-4,iforest_mean,fixed,0.03790169816362776,0.125
machine-2-4,js_max,fixed,0.16984654027740437,0.125
machine-2-4,js_max_thinned,fixed,0.48236311684987937,0.125
machine-2-4,ks_bonferroni,fixed,10.0,0.0
machine-2-4,ks_max,fixed,0.33285,0.10416666666666667
machine-2-4,ks_max_thinned,fixed,0.40404040404040403,0.125
machine-2-4,pca_recon,fixed,2.449962658120854,0.125
machine-2-4,psi_max,fixed,0.9585108080705309,0.125
machine-2-4,psi_max_thinned,fixed,9.148348666751662,0.125
machine-2-4,random,fixed,0.7642227899997162,0.125
machine-2-4,wasserstein_max,fixed,0.6092080785667724,0.125
machine-2-4,wasserstein_max_thinned,fixed,2.4159401070892654,0.125
machine-2-5,c2st,fixed,1.0,0.0
machine-2-5,c2st_thinned,fixed,1.0,0.0
machine-2-5,iforest_mean,fixed,0.036939212083926865,0.125
machine-2-5,js_max,fixed,0.9406624334472532,0.125
machine-2-5,js_max_thinned,fixed,0.932225064059397,0.10416666666666667
machine-2-5,ks_bonferroni,fixed,10.0,0.0
machine-2-5,ks_max,fixed,0.99605,0.041666666666666664
machine-2-5,ks_max_thinned,fixed,1.0,0.0
machine-2-5,pca_recon,fixed,26171.356248811062,0.125
machine-2-5,psi_max,fixed,20.756500861892842,0.125
machine-2-5,psi_max_thinned,fixed,20.305708308348187,0.0
machine-2-5,random,fixed,0.8354277442188603,0.125
machine-2-5,wasserstein_max,fixed,19.931166655897957,0.125
machine-2-5,wasserstein_max_thinned,fixed,6.042811105736738,0.125
machine-2-6,c2st,fixed,0.9746214990728241,0.125
machine-2-6,c2st_thinned,fixed,0.3999999999999999,0.125
machine-2-6,iforest_mean,fixed,0.014444563824390855,0.125
machine-2-6,js_max,fixed,0.1049220689132034,0.125
machine-2-6,js_max_thinned,fixed,0.5371054233771124,0.125
machine-2-6,ks_bonferroni,fixed,10.0,0.0
machine-2-6,ks_max,fixed,0.29719999999999996,0.125
